video_id,path,source_url,note_id,category,source_category,primary_category,subcategory,author,region,language,enabled,profile_ready,filename
beauty_68b66a79000000001d008b73,/Users/linying/workers/rednote-library/materials/彩妆-化妆品推荐_@MMq的嘴巴子_新马泰_英语_68b66a79000000001d008b73.mp4,https://www.xiaohongshu.com/explore/68b66a79000000001d008b73,68b66a79000000001d008b73,beauty,彩妆-化妆品推荐,彩妆,化妆品推荐,@MMq的嘴巴子,新马泰,英语,True,True,彩妆-化妆品推荐_@MMq的嘴巴子_新马泰_英语_68b66a79000000001d008b73.mp4
beauty_68cfd474000000000b03cd5f,/Users/linying/workers/rednote-library/materials/彩妆-化妆品推荐_@一打冰茶_港澳台_英语_68cfd474000000000b03cd5f.mp4,https://www.xiaohongshu.com/explore/68cfd474000000000b03cd5f,68cfd474000000000b03cd5f,beauty,彩妆-化妆品推荐,彩妆,化妆品推荐,@一打冰茶,港澳台,英语,True,True,彩妆-化妆品推荐_@一打冰茶_港澳台_英语_68cfd474000000000b03cd5f.mp4
beauty_6977412c000000002801d6d1,/Users/linying/workers/rednote-library/materials/彩妆-化妆品推荐_@一打冰茶_港澳台_英语_6977412c000000002801d6d1.mp4,https://www.xiaohongshu.com/explore/6977412c000000002801d6d1,6977412c000000002801d6d1,beauty,彩妆-化妆品推荐,彩妆,化妆品推荐,@一打冰茶,港澳台,英语,True,True,彩妆-化妆品推荐_@一打冰茶_港澳台_英语_6977412c000000002801d6d1.mp4
beauty_69d39a840000000023023c25,/Users/linying/workers/rednote-library/materials/彩妆-化妆品推荐_@一罐会冒气的可乐_新马泰_中文（简体）_69d39a840000000023023c25.mp4,https://www.xiaohongshu.com/explore/69d39a840000000023023c25,69d39a840000000023023c25,beauty,彩妆-化妆品推荐,彩妆,化妆品推荐,@一罐会冒气的可乐,新马泰,中文（简体）,True,True,彩妆-化妆品推荐_@一罐会冒气的可乐_新马泰_中文（简体）_69d39a840000000023023c25.mp4
beauty_689ef8fb000000001c03e573,/Users/linying/workers/rednote-library/materials/彩妆-化妆品推荐_@小媛奶糖🍬_港澳台_中文（繁体）_689ef8fb000000001c03e573.mp4,https://www.xiaohongshu.com/explore/689ef8fb000000001c03e573,689ef8fb000000001c03e573,beauty,彩妆-化妆品推荐,彩妆,化妆品推荐,@小媛奶糖🍬,港澳台,中文（繁体）,True,True,彩妆-化妆品推荐_@小媛奶糖🍬_港澳台_中文（繁体）_689ef8fb000000001c03e573.mp4
beauty_69d7813c0000000023010cfd,/Users/linying/workers/rednote-library/materials/彩妆-化妆品推荐_@小媛奶糖🍬_港澳台_中文（繁体）_69d7813c0000000023010cfd.mp4,https://www.xiaohongshu.com/explore/69d7813c0000000023010cfd,69d7813c0000000023010cfd,beauty,彩妆-化妆品推荐,彩妆,化妆品推荐,@小媛奶糖🍬,港澳台,中文（繁体）,True,True,彩妆-化妆品推荐_@小媛奶糖🍬_港澳台_中文（繁体）_69d7813c0000000023010cfd.mp4
beauty_6a3b9b1e0000000011011a84,/Users/linying/workers/rednote-library/materials/彩妆-化妆品推荐_@小常阿常_港澳台_英语_6a3b9b1e0000000011011a84.mp4,https://www.xiaohongshu.com/explore/6a3b9b1e0000000011011a84,6a3b9b1e0000000011011a84,beauty,彩妆-化妆品推荐,彩妆,化妆品推荐,@小常阿常,港澳台,英语,True,True,彩妆-化妆品推荐_@小常阿常_港澳台_英语_6a3b9b1e0000000011011a84.mp4
beauty_68e61f79000000000501332d,/Users/linying/workers/rednote-library/materials/彩妆-化妆品推荐_@尤达崽崽_港澳台_中文（繁体）_68e61f79000000000501332d.mp4,https://www.xiaohongshu.com/explore/68e61f79000000000501332d,68e61f79000000000501332d,beauty,彩妆-化妆品推荐,彩妆,化妆品推荐,@尤达崽崽,港澳台,中文（繁体）,True,True,彩妆-化妆品推荐_@尤达崽崽_港澳台_中文（繁体）_68e61f79000000000501332d.mp4
beauty_699ac123000000000d008827,/Users/linying/workers/rednote-library/materials/彩妆-化妆品推荐_@成仙的番茄_新马泰_马来语_699ac123000000000d008827.mp4,https://www.xiaohongshu.com/explore/699ac123000000000d008827,699ac123000000000d008827,beauty,彩妆-化妆品推荐,彩妆,化妆品推荐,@成仙的番茄,新马泰,马来语,True,True,彩妆-化妆品推荐_@成仙的番茄_新马泰_马来语_699ac123000000000d008827.mp4
beauty_69708dcf000000000b00a3d1,/Users/linying/workers/rednote-library/materials/彩妆-化妆品推荐_@涵饱饱-_新马泰_泰语_69708dcf000000000b00a3d1.mp4,https://www.xiaohongshu.com/explore/69708dcf000000000b00a3d1,69708dcf000000000b00a3d1,beauty,彩妆-化妆品推荐,彩妆,化妆品推荐,@涵饱饱-,新马泰,泰语,True,True,彩妆-化妆品推荐_@涵饱饱-_新马泰_泰语_69708dcf000000000b00a3d1.mp4
beauty_69a69177000000000e03f29d,/Users/linying/workers/rednote-library/materials/彩妆-化妆品推荐_@甘露寺公主_港澳台_中文（繁体）_69a69177000000000e03f29d.mp4,https://www.xiaohongshu.com/explore/69a69177000000000e03f29d,69a69177000000000e03f29d,beauty,彩妆-化妆品推荐,彩妆,化妆品推荐,@甘露寺公主,港澳台,中文（繁体）,True,True,彩妆-化妆品推荐_@甘露寺公主_港澳台_中文（繁体）_69a69177000000000e03f29d.mp4
beauty_68a4836c000000001c03c32a,/Users/linying/workers/rednote-library/materials/彩妆-化妆品推荐_@青闻_新马泰_马来语_68a4836c000000001c03c32a.mp4,https://www.xiaohongshu.com/explore/68a4836c000000001c03c32a,68a4836c000000001c03c32a,beauty,彩妆-化妆品推荐,彩妆,化妆品推荐,@青闻,新马泰,马来语,True,True,彩妆-化妆品推荐_@青闻_新马泰_马来语_68a4836c000000001c03c32a.mp4
beauty_691431c4000000000300dc2d,/Users/linying/workers/rednote-library/materials/彩妆-化妆品推荐_@🥥啵啵小椰（试色版）_新马泰_英语_691431c4000000000300dc2d.mp4,https://www.xiaohongshu.com/explore/691431c4000000000300dc2d,691431c4000000000300dc2d,beauty,彩妆-化妆品推荐,彩妆,化妆品推荐,@🥥啵啵小椰（试色版）,新马泰,英语,True,True,彩妆-化妆品推荐_@🥥啵啵小椰（试色版）_新马泰_英语_691431c4000000000300dc2d.mp4
