video_id,path,source_url,note_id,category,source_category,primary_category,subcategory,author,region,language,enabled,profile_ready,filename
fashion_6a09a12e000000003502356e,/Users/linying/workers/rednote-library/materials/Drama测试-时尚_@D4dansie_蛋清（bw接妆版）_北美_英语_6a09a12e000000003502356e.mp4,https://www.xiaohongshu.com/explore/6a09a12e000000003502356e,6a09a12e000000003502356e,fashion,Drama测试-时尚,Drama测试,时尚,@D4dansie_蛋清（bw接妆版）,北美,英语,true,false,Drama测试-时尚_@D4dansie_蛋清（bw接妆版）_北美_英语_6a09a12e000000003502356e.mp4
fashion_6964ae10000000001a036ee2,/Users/linying/workers/rednote-library/materials/Drama测试-时尚_@炸茄河_北美_英语_6964ae10000000001a036ee2.mp4,https://www.xiaohongshu.com/explore/6964ae10000000001a036ee2,6964ae10000000001a036ee2,fashion,Drama测试-时尚,Drama测试,时尚,@炸茄河,北美,英语,true,false,Drama测试-时尚_@炸茄河_北美_英语_6964ae10000000001a036ee2.mp4
fashion_68c2a7d4000000001d0214d5,/Users/linying/workers/rednote-library/materials/Drama测试-时尚_@飞飞鱼ffy_北美_英语_68c2a7d4000000001d0214d5.mp4,https://www.xiaohongshu.com/explore/68c2a7d4000000001d0214d5,68c2a7d4000000001d0214d5,fashion,Drama测试-时尚,Drama测试,时尚,@飞飞鱼ffy,北美,英语,true,false,Drama测试-时尚_@飞飞鱼ffy_北美_英语_68c2a7d4000000001d0214d5.mp4
drama_6a2540e30000000013020400,/Users/linying/workers/rednote-library/materials/Drama测试-短剧_@年糕剧场Ricecake Studio_北美_英语_6a2540e30000000013020400.mp4,https://www.xiaohongshu.com/explore/6a2540e30000000013020400,6a2540e30000000013020400,drama,Drama测试-短剧,Drama测试,短剧,@年糕剧场Ricecake Studio,北美,英语,true,false,Drama测试-短剧_@年糕剧场Ricecake Studio_北美_英语_6a2540e30000000013020400.mp4
relationship_68915ffb0000000023038b19,/Users/linying/workers/rednote-library/materials/两性-情感故事_@Joeyyyyy_新马泰_英语_68915ffb0000000023038b19.mp4,https://www.xiaohongshu.com/explore/68915ffb0000000023038b19,68915ffb0000000023038b19,relationship,两性-情感故事,两性,情感故事,@Joeyyyyy,新马泰,英语,true,false,两性-情感故事_@Joeyyyyy_新马泰_英语_68915ffb0000000023038b19.mp4
relationship_685c02e10000000024008b77,/Users/linying/workers/rednote-library/materials/两性-情感故事_@二拾叁_菲越柬_英语_685c02e10000000024008b77.mp4,https://www.xiaohongshu.com/explore/685c02e10000000024008b77,685c02e10000000024008b77,relationship,两性-情感故事,两性,情感故事,@二拾叁,菲越柬,英语,true,false,两性-情感故事_@二拾叁_菲越柬_英语_685c02e10000000024008b77.mp4
relationship_6964bbd10000000009038475,/Users/linying/workers/rednote-library/materials/两性-情感故事_@小飞璐🦌_新马泰_中文（简体）_6964bbd10000000009038475.mp4,https://www.xiaohongshu.com/explore/6964bbd10000000009038475,6964bbd10000000009038475,relationship,两性-情感故事,两性,情感故事,@小飞璐🦌,新马泰,中文（简体）,true,false,两性-情感故事_@小飞璐🦌_新马泰_中文（简体）_6964bbd10000000009038475.mp4
relationship_6957231b000000001e01093f,/Users/linying/workers/rednote-library/materials/两性-情感故事_@我想再睡五分钟Zzz_菲越柬_越南语_6957231b000000001e01093f.mp4,https://www.xiaohongshu.com/explore/6957231b000000001e01093f,6957231b000000001e01093f,relationship,两性-情感故事,两性,情感故事,@我想再睡五分钟Zzz,菲越柬,越南语,true,false,两性-情感故事_@我想再睡五分钟Zzz_菲越柬_越南语_6957231b000000001e01093f.mp4
relationship_69c9079f000000001a0377ff,/Users/linying/workers/rednote-library/materials/两性-情感故事_@番茄土豆泥_新马泰_英语_69c9079f000000001a0377ff.mp4,https://www.xiaohongshu.com/explore/69c9079f000000001a0377ff,69c9079f000000001a0377ff,relationship,两性-情感故事,两性,情感故事,@番茄土豆泥,新马泰,英语,true,false,两性-情感故事_@番茄土豆泥_新马泰_英语_69c9079f000000001a0377ff.mp4
relationship_686d17960000000012023139,/Users/linying/workers/rednote-library/materials/两性-情感故事_@真Kai心_新马泰_泰语_686d17960000000012023139.mp4,https://www.xiaohongshu.com/explore/686d17960000000012023139,686d17960000000012023139,relationship,两性-情感故事,两性,情感故事,@真Kai心,新马泰,泰语,true,false,两性-情感故事_@真Kai心_新马泰_泰语_686d17960000000012023139.mp4
